PointSliceID,Room,RoomType,ObjecName,BLG,Floor,ReadingType,Alias
45091,439A,Office,WATT-CENTER/FC-2.UF-4-1-2.EFFHTG-SP,Watt,4th Floor,Heating SP,439A Heating SP
41418,439B,Office,WATT-CENTER/FC-2.UF-4-1-3.ZN-T,Watt,4th Floor,Temp,439B Temp
45102,439B,Office,WATT-CENTER/FC-2.UF-4-1-3.EFFCLG-SP,Watt,4th Floor,Cooling SP,439B Cooling SP
45072,439B,Office,WATT-CENTER/FC-2.UF-4-1-3.EFFHTG-SP,Watt,4th Floor,Heating SP,439B Heating SP
41390,439C,Office,WATT-CENTER/FC-2.UF-4-1-7.ZN-T,Watt,4th Floor,Temp,439C Temp
45095,439C,Office,WATT-CENTER/FC-2.UF-4-1-7.EFFCLG-SP,Watt,4th Floor,Cooling SP,439C Cooling SP
45073,439C,Office,WATT-CENTER/FC-2.UF-4-1-7.EFFHTG-SP,Watt,4th Floor,Heating SP,439C Heating SP
8356,L102,Classroom,WATT-CENTER/FC-1.FCU-12.ZN-T,Watt,Basement,Temp,L102 Temp
8453,L110U,Mechanical Room,WATT-CENTER/FC-1.AHU-3.ZN-T,Watt,Basement,Temp,Air Handler 3 Temp
8474,L101B,Mechanical Room,WATT-CENTER/FC-1.FCU-10.ZN-T,Watt,Basement,Temp,L101B Temp
8680,L103,Dataroom,WATT-CENTER/FC-1.UF1-2-1.ZN-T,Watt,Basement,Temp,L103 Temp
8884,344A,Corridor,WATT-CENTER/FC-2.012032FE.ZN-T,Watt,3rd Floor,Temp,344A Temp
45097,401U1,Dataroom,WATT-CENTER/FC-2.FCU4-2.SOUTH-DATA-ZNT,Watt,4th Floor,Temp,401U1 Temp
45076,401U2,Dataroom,WATT-CENTER/FC-2.FCU4-1.DATA-ZNT,Watt,4th Floor,Temp,401U2 Temp
8931,325,Project Room,WATT-CENTER/FC-2.012043FE.EFFCLG-SP,Watt,3rd Floor,Cooling SP,325 Cooling SP
8932,325,Project Room,WATT-CENTER/FC-2.012043FE.EFFHTG-SP,Watt,3rd Floor,Heating SP,325 Heating SP
8937,321,Project Room,WATT-CENTER/FC-2.012044FE.EFFCLG-SP,Watt,3rd Floor,Cooling SP,321 Cooling SP
8938,321,Project Room,WATT-CENTER/FC-2.012044FE.EFFHTG-SP,Watt,3rd Floor,Heating SP,321 Heating SP
8983,313,Classroom,WATT-CENTER/FC-2.012045FE.EFFCLG-SP,Watt,3rd Floor,Cooling SP,313 Cooling SP
8991,313,Classroom,WATT-CENTER/FC-2.012045FE.EFFHTG-SP,Watt,3rd Floor,Heating SP,313 Heating SP
8994,315,Project Room,WATT-CENTER/FC-2.012046FE.EFFCLG-SP,Watt,3rd Floor,Cooling SP,315 Cooling SP
8953,315,Project Room,WATT-CENTER/FC-2.012046FE.EFFHTG-SP,Watt,3rd Floor,Heating SP,315 Heating SP
9168,308,Project Room,WATT-CENTER/FC-2.012050FE.EFFCLG-SP,Watt,3rd Floor,Cooling SP,308 Cooling SP
9054,308,Project Room,WATT-CENTER/FC-2.012050FE.EFFHTG-SP,Watt,3rd Floor,Heating SP,308 Heating SP
8903,333,Office,WATT-CENTER/FC-2.012039FE.EFFCLG-SP,Watt,3rd Floor,Cooling SP,333 Cooling SP
8904,333,Office,WATT-CENTER/FC-2.012039FE.EFFHTG-SP,Watt,3rd Floor,Heating SP,333 Heating SP
9081,339F,Office,WATT-CENTER/FC-2.012035FE.EFFCLG-SP,Watt,3rd Floor,Cooling SP,339F Cooling SP
9098,339F,Office,WATT-CENTER/FC-2.012035FE.EFFHTG-SP,Watt,3rd Floor,Heating SP,339F Heating SP
9000,300N,Corridor,WATT-CENTER/FC-2.012038FE.EFFHTG-SP,Watt,2nd Floor,Heating SP,300N Heating SP
8569,103,Kitchen,WATT-CENTER/FC-1.UF1-6.EFFHTG-SP,Watt,1st Floor,Heating SP,103 Heating SP
8623,100V1,Vestibule,WATT-CENTER/FC-1.UF1-5.EFFHTG-SP,Watt,1st Floor,Heating SP,100V1 Heating SP
8565,100V2,Vestibule,WATT-CENTER/FC-1.UF1-3.EFFHTG-SP,Watt,1st Floor,Heating SP,100V2 Heating SP
